ITEM,CATEGORY,STORE_NAME,QUANTITY,SUBTOTAL,CREATED_AT
16  Bone-In Wings Combo,Combo Meals,It's Just Wings,1,18,4/5/2021 1:35:17
Hash Browns,Bakery & Snacks,Dunkin',1,0.89,3/7/2021 14:48:33
Muffins,Bakery & Snacks,Dunkin',1,1.79,3/7/2021 14:48:33
Macchiato,Hot Drinks,Dunkin',1,4.59,3/7/2021 14:48:32
Beyond Sausage® Breakfast Sandwich,Sandwiches & Wraps,Dunkin',1,4.99,3/7/2021 14:48:32
Turkey Sausage Egg and Cheese Breakfast Sandwich,Sandwiches & Wraps,Dunkin',1,3.89,3/7/2021 14:48:32
Turkey Sausage and Cheese Wake-Up Wrap®,Sandwiches & Wraps,Dunkin' & Baskin-Robbins,1,1.99,10/12/2020 20:55:19
Hot Coffee,Hot Drinks,Dunkin' & Baskin-Robbins,1,2.58,10/12/2020 20:55:19
French Fries,Fries & Sides,Inactive Store - DO NOT EDIT,1,2.07,10/11/2020 21:00:33
Dave's,Hamburgers,Inactive Store - DO NOT EDIT,1,4.99,10/11/2020 21:00:33
Sub ONLY,Subs,American Deli,1,5.49,10/10/2020 20:42:54
Beyond Sausage® Breakfast Sandwich,Sandwiches & Wraps,Dunkin' & Baskin-Robbins,1,4.89,10/7/2020 21:13:06
Macchiato,Hot Drinks,Dunkin' & Baskin-Robbins,1,4.58,10/7/2020 21:13:05
Premium Manager's Special,Manager's Half Sandwich Special,Jason's Deli,1,9.89,9/23/2020 21:18:20
Beyond Sausage® Breakfast Sandwich,Sandwiches & Wraps,Dunkin' & Baskin-Robbins,1,5.89,9/22/2020 22:45:14
Macchiato,Hot Drinks,Dunkin' & Baskin-Robbins,1,4.58,9/22/2020 22:45:14
Macchiato,Hot Drinks,Dunkin' & Baskin-Robbins,1,4.58,9/22/2020 20:56:33
Beyond Sausage® Breakfast Sandwich,Sandwiches & Wraps,Dunkin' & Baskin-Robbins,1,5.89,9/22/2020 20:56:33
Cookies & Cream Milkshake,Treats,Chick-fil-A®,1,4.2,9/16/2020 0:55:13
Mac & Cheese,Sides,Chick-fil-A®,1,3.3,9/16/2020 0:55:13
Kale Crunch Side,Sides,Chick-fil-A®,1,2.55,9/16/2020 0:55:13
Chick-fil-A Waffle Potato Fries®,Sides,Chick-fil-A®,1,2.55,9/16/2020 0:55:13
Chick-fil-A® Deluxe Sandwich,Entrées,Chick-fil-A®,1,5.8,9/16/2020 0:55:13
Mac & Cheese,Sides,Chick-fil-A®,1,3.3,9/16/2020 0:10:59
Kale Crunch Side,Sides,Chick-fil-A®,1,2.55,9/16/2020 0:10:59
Chick-fil-A Waffle Potato Fries®,Sides,Chick-fil-A®,1,2.55,9/16/2020 0:10:59
Chick-fil-A® Deluxe Sandwich,Entrées,Chick-fil-A®,1,5.8,9/16/2020 0:10:59
Cookies & Cream Milkshake,Treats,Chick-fil-A®,1,4.2,9/16/2020 0:10:59
Chips,Side,Chipotle,1,1.5,9/14/2020 21:39:22
Burrito Bowl,Entree,Chipotle,1,9.05,9/14/2020 21:39:22
Chips & Guacamole,Side,Chipotle,1,3.9,9/14/2020 21:18:00
Chips & Queso Blanco,Side,Chipotle,1,3.9,9/14/2020 21:18:00
Burrito Bowl,Entree,Chipotle,1,7.5,9/14/2020 21:18:00
Fried Spring Roll,Appetizer,Sweet & Fresh,1,1.35,9/14/2020 4:31:28
10 Wings,Wings,Sweet & Fresh,1,14.2,9/14/2020 4:31:28
Sweet & Sour Chicken,Featured Items,Asian express,1,4.5,9/10/2020 21:49:58
White Rice,Featured Items,Asian express,1,3.5,9/10/2020 21:49:58
Vegetable Spring Roll (2),Appetizers,Asian express,2,3.6,9/10/2020 21:49:58
Kale Crunch Side,Sides,Chick-fil-A®,1,2.55,9/7/2020 20:19:07
Chick-fil-A Waffle Potato Fries®,Sides,Chick-fil-A®,1,2.2,9/7/2020 20:19:07
Chick-fil-A® Nuggets,Entrées,Chick-fil-A®,1,7,9/7/2020 20:19:07
Chips & Guacamole,Side,Chipotle,1,3.9,9/4/2020 21:53:37
Chips & Queso Blanco,Side,Chipotle,1,3.9,9/4/2020 21:53:37
Burrito Bowl,Entree,Chipotle,1,7.65,9/4/2020 21:53:37
Chips & Queso Blanco,Side,Chipotle,1,3.9,8/30/2020 22:37:36
Bowl,Entree,Chipotle,1,11.1,8/30/2020 22:37:36
Chick-fil-A Waffle Potato Fries®,Sides,Chick-fil-A®,1,2.2,8/26/2020 22:12:37
Mac & Cheese,Sides,Chick-fil-A®,1,3.3,8/26/2020 22:12:37
Chick-fil-A® Deluxe Sandwich,Entrées,Chick-fil-A®,1,5.8,8/26/2020 22:12:37
Bowl,Entree,Chipotle,1,11.1,8/17/2020 21:31:11
Chips & Queso Blanco,Side,Chipotle,1,3.9,8/17/2020 21:31:11
Turkey Breast Footlong Regular Sub,All Sandwiches,Subway,1,8.61,8/16/2020 20:27:21
Turkey Breast Footlong Regular Sub,All Sandwiches,Subway,1,8.29,8/14/2020 0:17:20
Chips & Queso Blanco,Side,Chipotle,1,3.9,8/12/2020 20:07:24
Bowl,Entree,Chipotle,1,11.1,8/12/2020 20:07:24
Chips & Queso Blanco,Side,Chipotle,1,3.9,8/9/2020 23:25:57
Blackberry Izze,Beverage,Chipotle,1,3,8/9/2020 23:25:57
Bowl,Entree,Chipotle,1,11.1,8/9/2020 23:25:57
Turkey Burger (All Natural),"Turkey  Burger, Veggie Burgers & the Impossible Burger",WNB Factory - Wings & Burger,1,16.48,8/7/2020 23:03:53
Fry-Seasoned Monsterella Stix,Fries and Sides,Checkers,1,3.6,8/3/2020 6:05:24
Crispy Fish Sandwich,Fish,Checkers,1,3.35,8/3/2020 6:05:24
Mac & Cheese,Sides,Quick Bite Jamaican Restaurant,1,3.5,7/22/2020 0:07:05
Jerk Chicken,"Chicken,Beef,Pork,Mutton",Quick Bite Jamaican Restaurant,1,8.99,7/22/2020 0:07:05
Wings Combo,Buffalo Wings,Wingit,1,9.99,7/16/2020 22:13:38
20 Pieces Wings,Wings Only,Wingit,1,15.99,7/6/2020 22:30:57
Stew Chicken,Caribbean Specialties,Spice Island Jamaican Restaurant,1,12,6/29/2020 21:20:13
Stew Chicken Lunch,Lunch Specials (Monday-Friday 11:00AM -3:00PM),Taste of Jamaica,1,4.99,6/29/2020 19:50:11
"Philly with 5 Pc Wings, Fries, & Drink",Specials,A Town Wings,1,15,6/27/2020 20:04:25
15 Pc,Wings 30+ Flavors,The WingShack ATL,1,16.6,6/18/2020 2:33:45
Deep Sea Double® ,Combo Meals,Checkers,1,8.3,6/11/2020 19:46:06
Queso Loaded Nachos,Quesadillas & Nachos,Del Taco,1,4.4,6/1/2020 19:27:42
Strawberry Milkshake,Treats,Chick-fil-A®,1,4.2,5/30/2020 19:29:36
Mac & Cheese,Sides,Chick-fil-A®,1,3.3,5/30/2020 19:29:36
Chick-fil-A® Deluxe Sandwich,Entrées,Chick-fil-A®,1,5.8,5/30/2020 19:29:36
Chocolate Shake,Sweets & Treats,Inactive Store - DO NOT EDIT,1,2.39,5/29/2020 2:02:11
4 Piece Chicken McNugget - Happy Meal,Happy Meal,Inactive Store - DO NOT EDIT,1,4.28,5/29/2020 2:02:11
Chick-fil-A® Nuggets,Entrées,Chick-fil-A®,1,7,5/23/2020 21:01:14
Wings Meal (Fries/ Fried rice+DRINK),Wings,American Deli,1,9.89,5/20/2020 20:56:55
Famous Seasoned Fries,Fries and Sides,Checkers,1,2.7,5/16/2020 22:24:46
Crispy Fish Sandwich,Fish,Checkers,1,3.2,5/16/2020 22:24:46
Wings Meal (Fries/ Fried rice+DRINK),Wings,American Deli,1,14.84,5/14/2020 22:15:36
Chick-fil-A Waffle Potato Fries®,Sides,Chick-fil-A®,1,2.2,5/9/2020 23:03:15
Chick-fil-A® Deluxe Sandwich,Entrées,Chick-fil-A®,1,5.8,5/9/2020 23:03:15
Kale Crunch Side,Sides,Chick-fil-A®,1,2.55,5/7/2020 19:42:14
Chick-fil-A Waffle Potato Fries®,Sides,Chick-fil-A®,1,2.2,5/7/2020 19:42:14
Chick-fil-A® Nuggets,Entrées,Chick-fil-A®,1,7.15,5/7/2020 19:42:14
Wings (18 Pcs.),Wings & Boneless,WNB Factory - Wings & Burger,1,22.5,4/27/2020 20:41:11
Mac & Cheese,Sides,Chick-fil-A®,1,3.25,4/25/2020 23:07:59
Chocolate Chunk Cookie,Treats,Chick-fil-A®,1,1.65,4/25/2020 23:07:59
Chocolate Milkshake,Treats,Chick-fil-A®,1,4.1,4/25/2020 23:07:59
Cookies & Cream Milkshake,Treats,Chick-fil-A®,3,12.3,4/25/2020 23:07:58
Chick-fil-A Waffle Potato Fries®,Sides,Chick-fil-A®,1,2.2,4/25/2020 23:07:58
Spicy Chicken Sandwich,Entrées,Chick-fil-A®,1,5.15,4/25/2020 23:07:58
Chick-fil-A Waffle Potato Fries®,Sides,Chick-fil-A®,1,2.85,4/25/2020 23:07:58
Chick-fil-A® Deluxe Sandwich,Entrées,Chick-fil-A®,1,5.7,4/25/2020 23:07:58
Chick-fil-A Waffle Potato Fries®,Sides,Chick-fil-A®,3,6.6,4/25/2020 23:07:58
Chick-fil-A® Chicken Sandwich,Entrées,Chick-fil-A®,3,14.4,4/25/2020 23:07:58
Chick-fil-A® Lemonade,Beverages,Chick-fil-A®,1,2.6,4/23/2020 19:57:31
Chick-fil-A Waffle Potato Fries®,Sides,Chick-fil-A®,1,2.55,4/23/2020 19:57:31
Chick-fil-A® Nuggets,Entrées,Chick-fil-A®,1,7,4/23/2020 19:57:31
Nonfat Caramel Macchiato,McCafé,McDonald's,1,2.99,4/15/2020 20:12:36
French Fries,"Fries, Sides & More",McDonald's,1,3.49,4/15/2020 20:12:36
Deep Sea Double® ,Combo Meals,Checkers,1,9.65,4/14/2020 20:24:01
Checkerburger® with Cheese,Burgers,Checkers,1,3.35,3/22/2020 20:11:44
Famous Seasoned Fries,Fries and Sides,Checkers,3,8.1,3/22/2020 20:11:44
Deep Sea Double®,Fish,Checkers,2,10.7,3/22/2020 20:11:44
Crispy Fish Sandwich,Fish,Checkers,2,6.2,3/22/2020 20:11:44
Cheese Chili Cheese Fries,Fries and Sides,Checkers,1,5.1,3/22/2020 20:11:44
10 Piece Boneless Wings,Boneless Wings,Checkers,1,10.1,3/22/2020 20:11:43
Chocolate Shake,Sweets & Treats,McDonald's,1,2.4,3/2/2020 7:23:28
4 Piece Chicken McNugget - Happy Meal,Happy Meal,McDonald's,1,4.33,3/2/2020 7:23:28
French Fries,"Fries, Sides & More",McDonald's,2,3.82,3/2/2020 7:23:27
Grilled Artisan Chicken,Individual Items,McDonald's,2,11.98,3/2/2020 7:23:27
House-Made Milkshakes,Beverages,IHOP,1,3.99,3/2/2020 7:04:33
2 x 2 x 2,Combos,IHOP,1,7.49,3/2/2020 7:04:33
Spicy Buffalo Chicken Sandwich,Sandwiches,IHOP,2,18.98,3/2/2020 7:04:33
Famous Seasoned Fries,Fries and Sides,Checkers,1,2.7,1/2/2020 1:37:39
Crispy Fish Sandwich,Fish,Checkers,1,2.8,1/2/2020 1:36:56
Minute Maid® Lemonade,Soft Drinks,Checkers,1,2.55,12/25/2019 1:44:43
Famous Seasoned Fries,Fries and Sides,Checkers,1,2.7,12/25/2019 1:44:10
Crispy Fish Sandwich,Fish,Checkers,1,3.45,12/25/2019 1:43:45
Original Turkey,Signature Burgers,Taco Mac,1,10.49,12/9/2019 3:19:20
Chick-fil-A® Deluxe Sandwich,Entrées,Chick-fil-A®,1,5.8,12/3/2019 20:44:48
Chick-fil-A Waffle Potato Fries®,Sides,Chick-fil-A®,5,11,12/3/2019 20:05:57
Dr Pepper®,Beverages,Chick-fil-A®,1,1.95,12/3/2019 20:05:19
Cookies & Cream Milkshake,Treats,Chick-fil-A®,3,12.6,12/3/2019 20:04:56
Chick-fil-A® Deluxe Sandwich,Entrées,Chick-fil-A®,1,5.8,12/3/2019 20:02:36
Spicy Chicken Sandwich,Entrées,Chick-fil-A®,1,5.2,12/3/2019 20:00:54
Chick-fil-A® Chicken Sandwich,Entrées,Chick-fil-A®,2,9.7,12/3/2019 20:00:38
Dr Pepper®,Beverages,Chick-fil-A®,1,1.95,12/3/2019 18:46:10
Chick-fil-A® Deluxe Sandwich,Entrées,Chick-fil-A®,1,5.8,12/3/2019 18:43:36
Spicy Chicken Sandwich,Entrées,Chick-fil-A®,1,5.2,12/3/2019 18:42:06
Cookies & Cream Milkshake,Treats,Chick-fil-A®,1,4.2,12/3/2019 18:40:28
Chick-fil-A Waffle Potato Fries®,Sides,Chick-fil-A®,4,8.8,12/3/2019 18:39:29
Chick-fil-A® Chicken Sandwich,Entrées,Chick-fil-A®,1,4.85,12/3/2019 18:38:53
20 Wings,By The Piece,Wingstop,1,18.69,12/3/2019 18:33:49
Large 10 pc Wing Combo,Individual Combos,Wingstop,1,12.09,12/2/2019 4:06:32
Oreo McFlurry,Sweets & Treats,McDonald's,1,3.23,11/26/2019 19:18:13
French Fries,Side Order,Touchdown Wings,1,2.39,11/6/2019 23:36:01
LAMB Gyro Wrap COMBO,Sandwich,Touchdown Wings,1,8.99,11/6/2019 23:35:09
Pre-Packed Quart,Ice Cream To Share,Baskin-Robbins,1,7.54,9/28/2019 20:15:46
Pre-Packed Quart,Ice Cream To Share,Baskin-Robbins,1,7.54,9/22/2019 20:49:59
6Wings /V.Rice/Fries Combo,Combo Value Menu,WNB Factory - Wings & Burger,1,14.95,9/15/2019 19:19:39
10pc Wings Combo,Combo Value Menu,WNB Factory - Wings & Burger,1,13.95,9/15/2019 19:14:59
Soda (2 liter),Drinks,DaVido's 3.75,1,2.5,9/9/2019 19:34:26
Mozzarella Cheese Sticks,Side Orders,DaVido's 3.75,1,3.69,9/9/2019 19:34:05
Veggie,Pizzas,DaVido's 3.75,1,16.79,9/9/2019 19:33:22
Soda,Beverages,Diaspora Kitchen,1,1.5,9/8/2019 18:19:02
Mashed Potatoes,Sides,Diaspora Kitchen,1,5,9/8/2019 18:18:12
Macaroni & Cheese,Sides,Diaspora Kitchen,1,5,9/8/2019 18:17:49
Vegan Red Beans & Rice,Sides,Diaspora Kitchen,1,5,9/8/2019 18:17:38
Sautéed Spinach,Sides,Diaspora Kitchen,1,5,9/7/2019 21:39:20
Soda,Beverages,Diaspora Kitchen,1,1.5,9/7/2019 21:31:39
Mashed Potatoes,Sides,Diaspora Kitchen,1,5,9/7/2019 21:29:24
Vegan Red Beans & Rice,Sides,Diaspora Kitchen,1,5,9/7/2019 21:28:57
Lemonade,Beverages,Wonder Wok,1,1.2,9/6/2019 17:41:41
88. Broccoli with Garlic Sauce,Vegetable,Wonder Wok,1,5.7,9/6/2019 17:39:51
27. Vegetable Lo Mein,Lo Mein,Wonder Wok,1,5.4,9/6/2019 17:39:06
Barq's Root Beer,Beverages,Chick-fil-A®,1,1.9,9/5/2019 17:49:48
Chick-fil-A Waffle Potato Fries™,Sides,Chick-fil-A®,1,2.4,9/5/2019 17:48:54
Chick-fil-A® Deluxe Sandwich,Entrées,Chick-fil-A®,1,5.35,9/5/2019 17:48:33
Strawberry Milkshake,Treats,Chick-fil-A®,1,3.9,9/5/2019 17:45:02
Build Your Own Smoothie,Mains,Moorish Medicine juice Bar,1,6,9/1/2019 18:14:08
Alkaline Water,Beverages,Moorish Medicine juice Bar,1,2,9/1/2019 18:07:06
Salmon Burger,Burgers,Moorish Medicine juice Bar,1,5,9/1/2019 18:06:44
Water,Sodas,Gordon Spice Jamaican Restaurant,1,1,9/1/2019 14:54:04
Stew Chicken,Chicken,Gordon Spice Jamaican Restaurant,1,12,9/1/2019 14:53:46
Big Mac Meal,Most Popular,McDonald's,1,8.15,9/1/2019 0:46:12
Strawberry Milkshake,Treats,Chick-fil-A®,1,4.5,8/27/2019 15:32:17
Dr Pepper,Beverages,Chick-fil-A®,1,1.9,8/17/2019 17:58:24
Waffle Potato Chips,Sides,Chick-fil-A®,1,2.15,8/17/2019 16:45:34
Spicy Deluxe Sandwich,Entrées,Chick-fil-A®,1,5.7,8/17/2019 16:45:33
Garden (Regular),Salads,Marco's Pizza,1,7.24,8/14/2019 22:03:32
Build Your Own Pizza (Small),Build Your Own Pizza,Marco's Pizza,1,11.75,8/14/2019 22:00:15
Veggie Burger Combo,Sandwich Combos,Wingit,1,8.99,8/9/2019 0:46:21
Chocolate Chip,Cookies,Subway,1,2.19,8/2/2019 1:53:40
Veggie Delite® (Footlong),Main Menu,Subway,1,6.5,8/2/2019 1:53:21
Veggie Burger Combo,Sandwich Combos,Wingit,2,17.98,8/1/2019 20:30:47
Veggie Burger Combo,Sandwich Combos,Wingit,2,17.98,8/1/2019 19:06:21
Create Your Own,Pizza,Papa John's Pizza,1,12.99,8/1/2019 0:53:02
Lay’s® Classic Chips,Sides,Subway,1,1.39,8/1/2019 0:02:50
Veggie Delite® Footlong,Footlong Sandwiches,Subway,1,6.59,8/1/2019 0:02:37
Veggie Burger Combo,Sandwich Combos,Wingit,2,17.98,7/27/2019 21:13:17
Sprite,drinks,Wingit,1,1,7/25/2019 18:46:10
Veggie Burger Combo,Sandwich Combos,Wingit,1,8.99,7/25/2019 18:45:45
Chocolate Chip,Cookies,Subway,1,2.19,7/24/2019 2:17:56
Lay’s® Classic,Chips,Subway,2,3,7/24/2019 2:17:38
Veggie Delite® (Footlong),Main Menu,Subway,1,6.5,7/24/2019 2:16:19
Veggie Delite® (Footlong),Main Menu,Subway,1,6.5,7/24/2019 2:15:23
"Veggie Delite® (6"")",Main Menu,Subway,1,5.25,7/24/2019 2:13:53
2 pc Fish/ Veg rice,Fish,American Deli,1,11.69,7/21/2019 22:32:03
Veggie Burger Combo,Sandwich Combos,Wingit,1,8.99,7/20/2019 16:49:38
Box of Fries,Sides,Wingit,1,4.99,7/20/2019 2:24:36
,,,,,
,,,1.15,6.24,3/21/2020 21:13:51